ts,pool,name,tier,price,vol_1h,baseline,multiple,buyer_base,buyer_mult,turnover,chg_1h,liquidity,mcap,buyers,sellers,age_days,fired
2026-08-19T11:31:30+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0033312792262994283,465181.948688245,29931.477013074797,15.5,,,0.5615,55.267,552407.1809,3036558.2172381,332,304,1.7,0
2026-08-19T11:31:30+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.001440149715044362,29418.2183449411,7333.34070622648,4.0,127,,0.9639,-11.196,138343.9782,1442311.421,137,77,9.5,0
2026-08-19T11:31:30+00:00,CD5HDt23sjGud5VTWsv51BMPey2Qf9qH5cyswWmjBDdq,BULLSHIT / SOL,A,0.003267437617965948,2279644.07920008,293182.13371419936,7.8,338.5,,2.2731,67.987,182590.2852,3195984.67116768,2328,2098,1.7,0
2026-08-19T12:02:16+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0032699253941329428,247139.660945238,29931.477013074797,8.3,,,0.5227,-11.43,476165.0043,3198418.0440093,239,212,1.7,0
2026-08-19T12:02:16+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,941.7519850210247,125517.556365932,19437.320365413918,6.5,,,0.4551,0.012,4004329.6215,6256825.61867029,12,9,57.9,0
2026-08-19T12:02:16+00:00,CD5HDt23sjGud5VTWsv51BMPey2Qf9qH5cyswWmjBDdq,BULLSHIT / SOL,A,0.003100611706670366,797165.685617738,293182.13371419936,2.7,349,,2.4151,-18.791,187677.1447,3035751.90797442,1405,1377,1.7,0
2026-08-19T12:02:16+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014239096612522404,22097.2013573342,7333.34070622648,3.0,130.0,,0.9654,-8.722,137614.633,1425350.729,103,71,9.6,0
2026-08-19T13:11:23+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,964.7247737418053,220739.676017735,19437.320365413918,11.4,,,0.4731,2.645,4080068.3587,6422077.21650354,14,15,58.0,0
2026-08-19T13:11:23+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0035861089022461616,82287.9937449852,29931.477013074797,2.7,,,0.4768,9.646,437760.4908,3507687.1403197,150,135,1.8,0
2026-08-19T13:11:23+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0012783913672131176,34055.0734736095,7333.34070622648,4.6,127,,1.0342,-11.667,131001.0391,1291518.963,155,91,9.6,0
2026-08-19T14:00:19+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,928.6136998720118,691792.178040009,19437.320365413918,35.6,,,0.5242,-3.728,3973782.2421,6181689.37628747,20,29,58.0,0
2026-08-19T14:00:19+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0012878975212420674,29250.4584279147,7333.34070622648,4.0,130.0,,1.0056,-4.978,130939.8641,1287897.521,108,99,9.7,0
